datetime,pm25_avg,pm25_min,pm25_max,pm25_median,coverage_pct,is_pm25_missing,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,wind_direction_10m,surface_pressure,boundary_layer_height,wind_u,wind_v,date,weekday,year,month,day,hour,is_weekend,month_sin,month_cos,hour_sin,hour_cos
2025-10-01 06:00:00+00:00,34.16858326064216,34.16858326064216,34.16858326064216,34.16858326064216,100.0,False,31.5,63,0.0,1.78,122,1008.6,895.0,-1.5095256111584383,0.9432562903351044,2025-10-01,2,2025,10,1,6,0,-0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2025-10-01 07:00:00+00:00,25.40387487411499,25.40387487411499,25.40387487411499,25.40387487411499,100.0,False,28.3,79,2.5,2.8,151,1007.9,530.0,-1.357466936689744,2.448935179990308,2025-10-01,2,2025,10,1,7,0,-0.8660254037844386,0.5000000000000001,0.9659258262890683,-0.25881904510252063
2025-10-01 08:00:00+00:00,34.397652795579695,34.397652795579695,34.397652795579695,34.397652795579695,100.0,False,30.1,71,0.0,2.47,122,1007.1,455.0,-2.0946787975063725,1.3089005826560158,2025-10-01,2,2025,10,1,8,0,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998
2025-10-01 09:00:00+00:00,42.91192448933919,42.91192448933919,42.91192448933919,42.91192448933919,100.0,False,27.1,80,1.4,2.18,122,1008.0,520.0,-1.848744849621009,1.1552239960283863,2025-10-01,2,2025,10,1,9,0,-0.8660254037844386,0.5000000000000001,0.7071067811865476,-0.7071067811865475
2025-10-01 10:00:00+00:00,47.45874977111816,47.45874977111816,47.45874977111816,47.45874977111816,100.0,False,27.5,80,0.1,0.98,114,1008.4,270.0,-0.8952745484897489,0.3986019102142842,2025-10-01,2,2025,10,1,10,0,-0.8660254037844386,0.5000000000000001,0.49999999999999994,-0.8660254037844387
2025-10-01 11:00:00+00:00,36.61386118200091,36.61386118200091,36.61386118200091,36.61386118200091,100.0,False,26.2,89,2.3,0.18,214,1009.4,240.0,0.1006547226247344,0.1492267630599075,2025-10-01,2,2025,10,1,11,0,-0.8660254037844386,0.5000000000000001,0.258819045102521,-0.9659258262890682
2025-10-01 12:00:00+00:00,9.055569455358718,9.055569455358718,9.055569455358718,9.055569455358718,100.0,False,24.5,94,0.8,1.47,108,1010.1,140.0,-1.398053078953876,0.4542549817311725,2025-10-01,2,2025,10,1,12,0,-0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0
2025-10-01 13:00:00+00:00,13.913166660732694,13.913166660732694,13.913166660732694,13.913166660732694,100.0,False,24.6,95,0.4,1.04,125,1010.5,70.0,-0.8519181260605514,0.5965194938050881,2025-10-01,2,2025,10,1,13,0,-0.8660254037844386,0.5000000000000001,-0.2588190451025208,-0.9659258262890683
2025-10-01 14:00:00+00:00,28.72579174836477,28.72579174836477,28.72579174836477,28.72579174836477,100.0,False,24.3,96,0.0,0.25,101,1011.1,50.0,-0.245406795861916,0.0477022488441362,2025-10-01,2,2025,10,1,14,0,-0.8660254037844386,0.5000000000000001,-0.4999999999999997,-0.8660254037844388
2025-10-01 15:00:00+00:00,47.72195847829183,47.72195847829183,47.72195847829183,47.72195847829183,100.0,False,24.2,96,0.0,0.34,153,1011.3,65.0,-0.1543567699114459,0.302942218224045,2025-10-01,2,2025,10,1,15,0,-0.8660254037844386,0.5000000000000001,-0.7071067811865471,-0.7071067811865479
